benchmark,model,seed,final_regret_vm,final_regret_slurm,auc_vm,auc_slurm,final_equal,auc_equal
Branin-Fav,DNGOJoint,47,0.00241426425751,0.00241426425751,1.658686290975081,1.658686290975081,True,True
Branin-Fav,DNGOJoint,48,0.1534502254535983,0.1534502254535983,3.280117339100639,3.280117339100639,True,True
Branin-Fav,DNGOJoint,49,0.6621478693184315,0.6621478693184315,3.6206975121443272,3.6206975121443272,True,True
Branin-Fav,DNGOJoint,50,0.00241426425751,0.00241426425751,2.721015563141653,2.721015563141653,True,True
Branin-Fav,DNGOJoint,51,0.1388635850122277,0.1388635850122277,1.9112861215749688,1.9112861215749688,True,True
Polarizability,DNGOGradient,42,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,DNGOGradient,43,0.0,0.0,0.0368785419343329,0.0368785419343329,True,True
Polarizability,DNGOGradient,44,0.0,0.0,0.026387787422472,0.026387787422472,True,True
Polarizability,DNGOGradient,45,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,DNGOGradient,46,0.0,0.0,0.0,0.0,True,True
Branin-Fav,Adapter,57,0.0681981043913921,0.0681981043913921,0.2472306841901236,0.2472306841901236,True,True
Branin-Fav,Adapter,58,0.1534502254535983,0.1534502254535983,3.1179147505110154,3.1179147505110154,True,True
Branin-Fav,Adapter,59,0.4078043888879996,0.4078043888879996,5.587487023838102,5.587487023838102,True,True
Branin-Fav,Adapter,60,0.0681981043913921,0.0681981043913921,3.115907159821807,3.115907159821807,True,True
Branin-Fav,Adapter,61,0.1534502254535983,0.1534502254535983,0.8625837569695362,0.8625837569695362,True,True
Park-Fav,DNGOGradient,42,0.0,0.0,0.1574726399297749,0.1574726399297749,True,True
Park-Fav,DNGOGradient,43,0.0,0.0,0.111121995943979,0.111121995943979,True,True
Park-Fav,DNGOGradient,44,0.0,0.0,0.1574726387762103,0.1574726387762103,True,True
Park-Fav,DNGOGradient,45,0.0,0.0,0.0830501452666891,0.0830501452666891,True,True
Park-Fav,DNGOGradient,46,0.0,0.0,0.1761528207755619,0.1761528207755619,True,True
