benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
HOPV15,Adapter,0.06902095196847677,0.06794041646759034,0.225,40,0.0544099433953346
HOPV15,DKL,0.4047104340454969,0.3808817955792301,0.2160377358490566,40,0.0548254143041241
HOPV15,Domain Adaptation (MMD),0.06323267190376694,0.06011896798853317,0.3306603773584905,40,0.055946790016587
HOPV15,End-to-End Joint,0.06731789377177574,0.0733504538939321,0.3320754716981132,40,0.0540751101182336
HOPV15,Feature-extraction transfer,0.0688159701467075,0.07164823220258,0.4047169811320755,40,0.0551206685668619
HOPV15,MFGP,0.06675734455943061,0.060168364407128395,0.3174528301886792,40,0.0632412502481276
HOPV15,Pretrain-then-Joint,0.07726888453655824,0.10530833598768377,0.2924528301886792,40,0.0525651656510386
HOPV15,Progressive,0.08497715969094112,0.10898755773212292,0.1792452830188679,40,0.0515968058771036
HOPV15,Sequential,0.07018557038165113,0.06768848542761582,0.4004716981132075,40,0.056589610790658
HOPV15,Soft Parameter Sharing,0.0806141784548059,0.11324382863513296,0.2452830188679245,40,0.0541645030719525
HOPV15,Sparse MFGP,0.06544901576611754,0.06554252269469654,0.080188679245283,40,0.0421561422254945
HOPV15,Stop-Gradient Joint,0.08490312240068403,0.06794535355948395,0.3755896226415094,40,0.0560440617311334
Matbench-Gap,Adapter,0.094764485904201,0.075712700458809,0.4625,40,0.0401772276487548
Matbench-Gap,DKL,0.35620243660492845,0.2547973239034041,0.2689814814814815,40,0.0401772276487548
Matbench-Gap,Domain Adaptation (MMD),0.09039573761726383,0.0856435899588276,0.374074074074074,40,0.0271692606502244
Matbench-Gap,End-to-End Joint,0.09143353302156584,0.08042161542467008,0.3810185185185185,40,0.040424871402643
Matbench-Gap,Feature-extraction transfer,0.09507756007739146,0.08466456948338395,0.3631944444444444,40,0.0378392575717368
Matbench-Gap,MFGP,0.15135745259968073,0.16295105828986922,0.2451388888888888,40,0.0358839181948242
Matbench-Gap,Pretrain-then-Joint,0.11411336820695803,0.1015534042763756,0.4210648148148147,40,0.0339203668759334
