cell,r2,top10,TL|GP-base,TL|GP variants,GP variants|GP-base,ri,ti
cell_118,0.7689,0.2,0.09635549872122749,0.00891943734015343,0.08743606138107406,7,2
cell_119,0.7797,0.5,0.07135549872122744,0.00891943734015343,0.062436061381074014,7,5
cell_12,0.4785,0.7,0.0,0.0,0.0,4,7
cell_120,0.7977,0.9,0.0,0.0,0.0,7,9
cell_121,0.8621,0.0,0.08407928388746788,0.057320971867007596,0.026758312020460286,8,0
cell_122,0.8687,0.1,0.08446291560102288,0.05095907928388736,0.03350383631713552,8,1
cell_123,0.8702,0.2,0.09680306905370832,0.04459718670076715,0.05220588235294117,8,2
cell_124,0.8746,0.3,0.10316496163682853,0.04459718670076715,0.058567774936061384,8,3
cell_125,0.9044,0.9,0.0,0.0,0.0,8,9
cell_13,0.514,0.8,0.0,0.0,0.0,4,8
cell_14,0.6334,0.0,0.24984015345268534,0.05351662404092058,0.19632352941176479,5,0
cell_15,0.6544,0.1,0.1406969309462915,0.06243606138107401,0.07826086956521748,6,1
cell_16,0.6132,0.3,0.13590153452685413,0.03567774936061372,0.10022378516624042,5,3
cell_17,0.6249,0.4,0.13590153452685413,0.04459718670076715,0.09130434782608698,5,4
cell_18,0.6721,0.6,0.0,0.0,0.0,6,6
cell_19,0.5946,0.7,0.0,0.0,0.0,5,7
cell_20,0.6225,0.8,0.0,0.0,0.0,5,8
cell_21,0.7019,0.0,0.2409207161125319,0.050959079283887376,0.18996163682864453,6,0
cell_22,0.7235,0.1,0.17515984654731453,0.06243606138107401,0.11272378516624053,6,1
cell_23,0.7038,0.3,0.13762787723785158,0.03567774936061372,0.10195012787723787,6,3
cell_24,0.7161,0.4,0.12544757033248075,0.05095907928388736,0.07448849104859338,6,4
cell_25,0.7134,0.5,0.0,0.0,0.0,6,5
cell_26,0.6777,0.6,0.0,0.0,0.0,6,6
cell_27,0.72,0.7,0.0,0.0,0.0,6,7
cell_28,0.7804,0.7,0.0,0.0,0.0,7,7
cell_29,0.8015,0.0,0.259079283887468,0.09034526854219933,0.16873401534526866,7,0
cell_30,0.8036,0.1,0.13711636828644494,0.06243606138107401,0.07468030690537093,7,1
cell_31,0.8176,0.3,0.11460997442455234,0.06243606138107401,0.052173913043478334,7,3
cell_32,0.7803,0.4,0.13590153452685413,0.05351662404092058,0.08238491048593355,7,4
cell_33,0.7974,0.6,0.0,0.0,0.0,7,6
cell_34,0.8027,0.6,0.0,0.0,0.0,7,6
cell_35,0.817,0.8,0.0,0.0,0.0,7,8
cell_36,0.8144,0.0,0.25927109974424545,0.14303069053708434,0.11624040920716111,7,0
cell_37,0.8363,0.1,0.11854219948849092,0.07212276214833743,0.04641943734015348,7,1
cell_38,0.8493,0.3,0.09993606138107404,0.08391943734015331,0.016016624040920732,7,3
cell_39,0.8616,0.4,0.11579283887468021,0.07135549872122744,0.04443734015345277,8,4
cell_40,0.8947,0.5,0.0,0.0,0.0,8,5
