benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,numpy_fit_flops,numpy_predict_flops,fit_flops,predict_flops,ok,elapsed,err
Branin-Unfav,NARGP,43,0.3,7,16,23,2500,2,0,0,1173544,289140490,1,2.32,
Branin-Unfav,NARGP,43,0.5,12,26,38,2500,2,0,0,3454568,479291440,1,2.19,
Branin-Unfav,NARGP,43,0.7,17,36,53,2500,2,0,0,16995936,670692890,1,3.19,
Branin-Unfav,NARGP,43,1.0,24,52,76,2500,2,0,0,35151264,966785760,1,2.82,
Branin-Unfav,Sparse MFGP,42,0.1,2,5,7,2500,2,0,0,7131000,75965652,1,15.41,
Branin-Unfav,Sparse MFGP,42,0.3,7,16,23,2500,2,0,0,177595000,81811540,1,13.53,
Branin-Unfav,Sparse MFGP,42,0.5,12,26,38,2500,2,0,0,744280000,91947640,1,13.86,
Branin-Unfav,Sparse MFGP,42,0.7,17,36,53,2500,2,0,0,1953115000,106589140,1,13.8,
Branin-Unfav,Sparse MFGP,42,1.0,24,52,76,2500,2,0,0,5609724000,137789928,1,13.39,
Branin-Unfav,Sparse MFGP,43,0.1,2,5,7,2500,2,0,0,7131000,75965652,1,12.94,
Branin-Unfav,Sparse MFGP,43,0.3,7,16,23,2500,2,0,0,177595000,81811540,1,12.48,
Branin-Unfav,Sparse MFGP,43,0.5,12,26,38,2500,2,0,0,744280000,91947640,1,13.12,
Branin-Unfav,Sparse MFGP,43,0.7,17,36,53,2500,2,0,0,1953115000,106589140,1,10.48,
Branin-Unfav,Sparse MFGP,43,1.0,24,52,76,2500,2,0,0,5609724000,137789928,1,12.61,
Branin-Unfav,DKL Multi-Fidelity,42,0.1,2,5,7,2500,2,0,0,112516000,365345992,1,13.15,
Branin-Unfav,DKL Multi-Fidelity,42,0.3,7,16,23,2500,2,0,0,401684000,569000520,1,11.36,
Branin-Unfav,DKL Multi-Fidelity,42,0.5,12,26,38,2500,2,0,0,730904000,759963840,1,9.68,
Branin-Unfav,DKL Multi-Fidelity,42,0.7,17,36,53,2500,2,0,0,1137074000,950963160,1,9.5,
